year,state,abbr,electors,d_pv,d_2pv,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area
1956,South Carolina,SC,8,45.36916592,64.3045758,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,1,0,0,1,0,0,0,0,0,0,2229000,30111
1956,South Dakota,SD,4,41.61479903,41.61479903,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,670000,75898
1956,Tennessee,TN,11,48.59538601,49.68540317,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,3415000,41220
1956,Texas,TX,24,43.97536237,44.31455181,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,8830000,261914
1956,Utah,UT,4,35.43885388,35.43885388,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,809000,82168
1956,Vermont,VT,3,27.81380329,27.82089591,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,377000,9249
1956,Virginia,VA,12,38.36224064,40.92819071,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,3722000,39598
1956,Washington,WA,9,45.44330513,45.73966794,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,2668000,66582
1956,West Virginia,WV,8,45.92197451,45.92197451,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,1857000,24087
1956,Wisconsin,WI,12,37.84237674,38.06197668,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,3742000,54314
1956,Wyoming,WY,3,39.92201536,39.92201536,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,74,457,0,0,0,1,0,0,0,0,0,0,312000,97105
1960,Alabama,AL,11,56.38941101,57.21951377,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,3274000,50750
1960,Alaska,AK,3,49.05862217,49.05862217,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,229000,570641
1960,Arizona,AZ,4,44.36260794,44.41488159,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,1321000,113642
1960,Arkansas,AR,8,50.18541034,53.82185771,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,1789000,52075
1960,California,CA,32,49.55137708,49.72529315,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,1,0,1,15870000,155973
1960,Colorado,CO,6,44.90740867,45.11421519,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,1769000,103730
1960,Connecticut,CT,8,53.72999706,53.73065613,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,2544000,4845
1960,Delaware,DE,3,50.63477779,50.82081821,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,449000,1955
1960,Florida,FL,10,48.48540581,48.48540581,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,5004000,53997
1960,Georgia,GA,12,62.54020937,62.560598,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,3956000,57919
1960,Hawaii,HI,3,50.03113072,50.03113072,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,642000,6423
1960,Idaho,ID,4,46.21501082,46.21501082,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,671000,82751
1960,Illinois,IL,27,49.98195446,50.09330429,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,10086000,55593
1960,Indiana,IN,13,44.59941181,44.76464622,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,4674000,35870
1960,Iowa,IA,10,43.22190908,43.25124554,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,2756000,55875
1960,Kansas,KS,8,39.1045676,39.27956163,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,2183000,81823
1960,Kentucky,KY,10,46.40930507,46.40930507,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,3041000,39732
1960,Louisiana,LA,10,50.42004429,63.81433108,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,3260000,43566
1960,Maine_d1,ME_d1,0,42.95177738,42.9523884,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,975000,30865
1960,Maine_d2,ME_d2,0,42.95177738,42.9523884,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,975000,30865
1960,Maine_full,ME_full,5,42.95177738,42.9523884,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,0,0,0,0,0,1,0,0,0,0,975000,30865
1960,Maryland,MD,9,53.61335444,53.61350685,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,0,0,0,0,3113000,9775
1960,Massachusetts,MA,16,60.22215203,60.35794935,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,317,220,1,0,0,0,0,1,1,0,1,0,5160000,7838
