year,state,abbr,electors,d_pv,r_pv,pop,area
1960,Nevada,NV,3,51.16205357,48.83794643,291000,109806
1960,New Hampshire,NH,4,46.58220658,53.41779342,609000,8969
1960,New Jersey,NJ,16,49.9588729,49.16225856,6103000,7419
1960,New Mexico,NM,4,50.15219844,49.41483155,954000,121365
1960,New York,NY,45,52.53111371,47.26898447,16838000,47224
1960,North Carolina,NC,14,52.1086459,47.8913541,4573000,48718
1960,North Dakota,ND,4,44.52198211,55.42127134,634000,68994
1960,Ohio,OH,25,46.71585462,53.28414538,9734000,40953
1960,Oklahoma,OK,8,40.98001439,59.01998561,2336000,68679
1960,Oregon,OR,6,47.31994627,52.55653827,1772000,96003
1960,Pennsylvania,PA,32,51.05884482,48.7353644,11329000,44820
1960,Rhode Island,RI,4,63.62755373,36.37219969,855000,1034
1960,South Carolina,SC,8,51.23743173,48.76230967,2392000,30111
1960,South Dakota,SD,4,41.78643792,58.21356208,683000,75898
1960,Tennessee,TN,11,45.77454478,52.91702162,3575000,41220
1960,Texas,TX,24,50.5203186,48.51879032,9624000,261914
1960,Utah,UT,4,45.16785025,54.80546237,900000,82168
1960,Vermont,VT,3,41.34852143,58.64729507,389000,9249
1960,Virginia,VA,12,46.96707106,52.43651881,3986000,39598
1960,Washington,WA,9,48.26929087,50.68356889,2855000,66582
1960,West Virginia,WV,8,52.7328741,47.2671259,1853000,24087
1960,Wisconsin,WI,12,48.04890688,51.77169157,3962000,54314
1960,Wyoming,WY,3,44.98515435,55.01484565,331000,97105
1964,Alabama,AL,10,30.55,69.45102832,3395000,50750
1964,Alaska,AK,3,65.90790824,34.09209176,263000,570641
1964,Arizona,AZ,5,49.45254488,50.44719928,1556000,113642
1964,Arkansas,AR,6,56.06395849,43.40697969,1897000,52075
1964,California,CA,40,59.11195414,40.79451529,18151000,155973
1964,Colorado,CO,6,61.26545395,38.19463929,1970000,103730
1964,Connecticut,CT,8,67.80600011,32.08625135,2798000,4845
1964,Delaware,DE,3,60.94973177,38.78303199,497000,1955
1964,District Of Columbia,DC,3,85.49776683,14.50223317,NA,NA
1964,Florida,FL,14,51.14854237,48.85145763,5781000,53997
1964,Georgia,GA,12,45.86504771,54.11783706,4258000,57919
1964,Hawaii,HI,4,78.7611388,21.2388612,700000,6423
1964,Idaho,ID,4,50.91682423,49.08317577,680000,82751
1964,Illinois,IL,26,59.4711367,40.52754495,10580000,55593
1964,Indiana,IN,13,55.97842041,43.56068973,4856000,35870
1964,Iowa,IA,9,61.8831461,37.91753585,2746000,55875
1964,Kansas,KS,7,54.08875849,45.06102686,2209000,81823
