year,abbr,pop,area,density
1968,MD,3815000,9775,390.28
1968,ME,994000,30865,32.2
1968,MI,8696000,56539,153.81
1968,MN,3703000,79617,46.51
1968,MO,4568000,68898,66.3
1968,MS,2219000,46914,47.3
1968,MT,700000,145556,4.81
1968,NC,5004000,48718,102.71
1968,ND,621000,68994,9
1968,NE,1467000,76878,19.08
1968,NH,709000,8969,79.05
1968,NJ,7005000,7419,944.2
1968,NM,994000,121365,8.19
1968,NV,464000,109806,4.23
1968,NY,18051000,47224,382.24
1968,OH,10516000,40953,256.78
1968,OK,2503000,68679,36.44
1968,OR,2004000,96003,20.87
1968,PA,11741000,44820,261.96
1968,RI,922000,1034,891.68
1968,SC,2559000,30111,84.99
1968,SD,669000,75898,8.81
1968,TN,3878000,41220,94.08
1968,TX,10819000,261914,41.31
1968,UT,1029000,82168,12.52
1968,VA,4558000,39598,115.11
1968,VT,430000,9249,46.49
1968,WA,3270000,66582,49.11
1968,WI,4345000,54314,80
1968,WV,1763000,24087,73.19
1968,WY,324000,97105,3.34
1972,AK,324464,570641,0.57
1972,AL,3539400,50750,69.74
1972,AR,2018638,52075,38.76
1972,AZ,2008291,113642,17.67
1972,CA,20585469,155973,131.98
1972,CO,2404619,103730,23.18
1972,CT,3068699,4845,633.37
1972,DE,572913,1955,293.05
1972,FL,7511463,53997,139.11
1972,GA,4809490,57919,83.04
1972,HI,828331,6423,128.96
1972,IA,2860287,55875,51.19
1972,ID,763237,82751,9.22
1972,IL,11251948,55593,202.4
1972,IN,5302435,35870,147.82
1972,KS,2256375,81823,27.58
1972,KY,3335728,39732,83.96
1972,LA,3761646,43566,86.34
1972,MA,5760302,7838,734.92
1972,MD,4073499,9775,416.73
1972,ME,1034292,30865,33.51
1972,MI,9028944,56539,159.69
1972,MN,3869747,79617,48.6
1972,MO,4758780,68898,69.07
1972,MS,2307117,46914,49.18
1972,MT,718732,145556,4.94
1972,NC,5301150,48718,108.81
1972,ND,631119,68994,9.15
1972,NE,1519013,76878,19.76
1972,NH,781107,8969,87.09
1972,NJ,7335042,7419,988.68
1972,NM,1078697,121365,8.89
1972,NV,546789,109806,4.98
1972,NY,18339400,47224,388.35
1972,OH,10746993,40953,262.42
1972,OK,2658646,68679,38.71
1972,OR,2197297,96003,22.89
1972,PA,11908233,44820,265.69
1972,RI,974790,1034,942.74
1972,SC,2719197,30111,90.31
1972,SD,677234,75898,8.92
1972,TN,4094611,41220,99.34
1972,TX,11759148,261914,44.9
