year,state,abbr,electors,d_pv,pop,area,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,d_2pv,state_winner,dem_hsa_advantage,rep_hsa_advantage,dem_rsa_advantage,rep_rsa_advantage,total_rep_electors,total_dem_electors
1996,Montana,MT,3,41.25006448,876656,145556,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,48.31258955,0,0,0,0,0,159,379
2000,Montana,MT,3,33.36512679,903773,145556,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,36.34363802,0,0,0,0,0,271,267
2004,Montana,MT,3,38.56502839,930009,145556,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,39.49992382,0,0,0,0,0,286,252
2008,Montana,MT,3,47.26846477,976415,145556,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,48.83059672,0,0,0,0,0,173,365
2012,Montana,MT,3,41.69813737,1003783,145556,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,42.96576814,0,0,0,0,0,206,332
2016,Montana,MT,3,35.93521878,1040859,145556,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,38.89033569,0,0,0,0,0,306,232
2020,Montana,MT,3,40.54936936,1084225,145556,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,41.60281991,0,0,0,0,0,229,307
2020,Nebraska,NA,NA,39.16663094,NA,NA,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,40.21594775,0,0,0,0,0,229,307
1964,Nebraska_3,NA,NA,52.6071892,NA,NA,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,52.6071892,1,0,0,0,0,52,486
1952,Nebraska_d1,NE_d1,0,30.84620936,1311000,76878,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,30.84620936,0,0,0,0,0,442,89
1956,Nebraska_d1,NE_d1,0,34.48557275,1397000,76878,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,34.48557275,0,0,0,0,0,457,74
1960,Nebraska_d1,NE_d1,0,37.92919531,1417000,76878,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,37.92919531,0,0,0,0,0,220,317
1964,Nebraska_d1,NE_d1,0,52.6071892,1482000,76878,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,52.6071892,1,0,0,0,0,52,486
1968,Nebraska_d1,NE_d1,0,31.8121788,1467000,76878,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,34.71593485,0,0,0,0,0,320,218
1972,Nebraska_d1,NE_d1,0,29.49752641,1519013,76878,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,29.49752641,0,0,0,0,0,521,17
1976,Nebraska_d1,NE_d1,0,38.4496719,1550911,76878,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,39.37354851,0,0,0,0,0,241,297
1980,Nebraska_d1,NE_d1,0,26.02273847,1572296,76878,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,28.41755487,0,0,0,0,0,448,90
1984,Nebraska_d1,NE_d1,0,28.80982686,1588639,76878,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,28.99524632,0,0,0,0,0,525,13
1988,Nebraska_d1,NE_d1,0,39.19103807,1571477,76878,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,39.4459145,0,0,0,0,0,426,112
1992,Nebraska_d1,NE_d1,1,29,1602406,76878,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,40.27777778,0,0,0,0,0,168,370
1996,Nebraska_d1,NE_d1,1,38,1647657,76878,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,43.18181818,0,0,0,0,0,159,379
2000,Nebraska_d1,NE_d1,1,36,1713820,76878,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,37.89473684,0,0,0,0,0,271,267
2004,Nebraska_d1,NE_d1,1,36,1749370,76878,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,36.36363636,0,0,0,0,0,286,252
2008,Nebraska_d1,NE_d1,1,44,1796378,76878,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,44.89795918,0,0,0,0,0,173,365
2012,Nebraska_d1,NE_d1,1,41,1853303,76878,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,41.83673469,0,0,0,0,0,206,332
2016,Nebraska_d1,NE_d1,1,36,1905616,76878,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,38.29787234,0,0,0,0,0,306,232
2020,Nebraska_d1,NE_d1,1,41,1961504,76878,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,42.26804124,0,0,0,0,0,229,307
1952,Nebraska_d2,NE_d2,0,30.84620936,1311000,76878,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,30.84620936,0,0,0,0,0,442,89
1956,Nebraska_d2,NE_d2,0,34.48557275,1397000,76878,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,34.48557275,0,0,0,0,0,457,74
1960,Nebraska_d2,NE_d2,0,37.92919531,1417000,76878,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,37.92919531,0,0,0,0,0,220,317
1964,Nebraska_d2,NE_d2,0,52.6071892,1482000,76878,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,52.6071892,1,0,0,0,0,52,486
1968,Nebraska_d2,NE_d2,0,31.8121788,1467000,76878,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,34.71593485,0,0,0,0,0,320,218
1972,Nebraska_d2,NE_d2,0,29.49752641,1519013,76878,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,29.49752641,0,0,0,0,0,521,17
1976,Nebraska_d2,NE_d2,0,38.4496719,1550911,76878,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,39.37354851,0,0,0,0,0,241,297
1980,Nebraska_d2,NE_d2,0,26.02273847,1572296,76878,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,28.41755487,0,0,0,0,0,448,90
1984,Nebraska_d2,NE_d2,0,28.80982686,1588639,76878,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,28.99524632,0,0,0,0,0,525,13
1988,Nebraska_d2,NE_d2,0,39.19103807,1571477,76878,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,39.4459145,0,0,0,0,0,426,112
1992,Nebraska_d2,NE_d2,1,32,1602406,76878,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,40,0,0,0,0,0,168,370
1996,Nebraska_d2,NE_d2,1,38,1647657,76878,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,41.75824176,0,0,0,0,0,159,379
2000,Nebraska_d2,NE_d2,1,39,1713820,76878,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,40.625,0,0,0,0,0,271,267
2004,Nebraska_d2,NE_d2,1,38,1749370,76878,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,38.7755102,0,0,0,0,0,286,252
2008,Nebraska_d2,NE_d2,1,50,1796378,76878,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,50.50505051,1,0,0,0,0,173,365
2012,Nebraska_d2,NE_d2,1,46,1853303,76878,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,46.46464646,0,0,0,0,0,206,332
2016,Nebraska_d2,NE_d2,1,46,1905616,76878,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,48.93617021,0,0,0,0,0,306,232
2020,Nebraska_d2,NE_d2,1,52,1961504,76878,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,53.06122449,1,0,0,0,0,229,307
1952,Nebraska_d3,NE_d3,0,30.84620936,1311000,76878,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,30.84620936,0,0,0,0,0,442,89
1956,Nebraska_d3,NE_d3,0,34.48557275,1397000,76878,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,34.48557275,0,0,0,0,0,457,74
1960,Nebraska_d3,NE_d3,0,37.92919531,1417000,76878,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,37.92919531,0,0,0,0,0,220,317
1968,Nebraska_d3,NE_d3,0,31.8121788,1467000,76878,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,34.71593485,0,0,0,0,0,320,218
1972,Nebraska_d3,NE_d3,0,29.49752641,1519013,76878,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,29.49752641,0,0,0,0,0,521,17
1976,Nebraska_d3,NE_d3,0,38.4496719,1550911,76878,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,39.37354851,0,0,0,0,0,241,297
1980,Nebraska_d3,NE_d3,0,26.02273847,1572296,76878,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,28.41755487,0,0,0,0,0,448,90
1984,Nebraska_d3,NE_d3,0,28.80982686,1588639,76878,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,28.99524632,0,0,0,0,0,525,13
1988,Nebraska_d3,NE_d3,0,39.19103807,1571477,76878,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,39.4459145,0,0,0,0,0,426,112
1992,Nebraska_d3,NE_d3,1,24,1602406,76878,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,32.43243243,0,0,0,0,0,168,370
1996,Nebraska_d3,NE_d3,1,29,1647657,76878,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,32.95454545,0,0,0,0,0,159,379
2000,Nebraska_d3,NE_d3,1,25,1713820,76878,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,26.04166667,0,0,0,0,0,271,267
2004,Nebraska_d3,NE_d3,1,24,1749370,76878,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,24.24242424,0,0,0,0,0,286,252
2008,Nebraska_d3,NE_d3,1,30,1796378,76878,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,30.3030303,0,0,0,0,0,173,365
2012,Nebraska_d3,NE_d3,1,28,1853303,76878,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,28.57142857,0,0,0,0,0,206,332
2016,Nebraska_d3,NE_d3,1,20,1905616,76878,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,21.27659574,0,0,0,0,0,306,232
2020,Nebraska_d3,NE_d3,1,22,1961504,76878,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,22.68041237,0,0,0,0,0,229,307
1952,Nebraska_full,NE_full,6,30.84620936,1311000,76878,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,30.84620936,0,0,0,0,0,442,89
1956,Nebraska_full,NE_full,6,34.48557275,1397000,76878,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,34.48557275,0,0,0,0,0,457,74
1960,Nebraska_full,NE_full,6,37.92919531,1417000,76878,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,37.92919531,0,0,0,0,0,220,317
1964,Nebraska_full,NE_full,5,52.6071892,1482000,76878,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,52.6071892,1,0,0,0,0,52,486
1968,Nebraska_full,NE_full,5,31.8121788,1467000,76878,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,34.71593485,0,0,0,0,0,320,218
1972,Nebraska_full,NE_full,5,29.49752641,1519013,76878,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,29.49752641,0,0,0,0,0,521,17
1976,Nebraska_full,NE_full,5,38.44967194,1550911,76878,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,39.37354855,0,0,0,0,0,241,297
1980,Nebraska_full,NE_full,5,26.02273847,1572296,76878,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,28.41755487,0,0,0,0,0,448,90
1984,Nebraska_full,NE_full,5,28.80982686,1588639,76878,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,28.99524632,0,0,0,0,0,525,13
1988,Nebraska_full,NE_full,5,39.19103807,1571477,76878,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,39.4459145,0,0,0,0,0,426,112
1992,Nebraska_full,NE_full,2,29.40345416,1602406,76878,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,38.68826957,0,0,0,0,0,168,370
1996,Nebraska_full,NE_full,2,34.95065802,1647657,76878,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,39.4451775,0,0,0,0,0,159,379
2000,Nebraska_full,NE_full,2,33.25303901,1713820,76878,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,34.82051914,0,0,0,0,0,271,267
2004,Nebraska_full,NE_full,2,32.68216082,1749370,76878,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,33.15266274,0,0,0,0,0,286,252
2008,Nebraska_full,NE_full,2,41.59826578,1796378,76878,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,42.39092558,0,0,0,0,0,173,365
2012,Nebraska_full,NE_full,2,38.02731442,1853303,76878,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,38.87060973,0,0,0,0,0,206,332
2016,Nebraska_full,NE_full,2,33.69875638,1905616,76878,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,36.45232589,0,0,0,0,0,306,232
1952,Nevada,NV,3,38.55456868,181000,109806,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,38.55456868,0,0,0,0,0,442,89
1956,Nevada,NV,3,42.03166855,250000,109806,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,42.03166855,0,0,0,0,0,457,74
1960,Nevada,NV,3,51.16205357,291000,109806,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,51.16205357,1,0,0,0,0,220,317
1964,Nevada,NV,3,58.58173414,426000,109806,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,58.58173414,1,0,0,0,0,52,486
1968,Nevada,NV,3,39.29372706,464000,109806,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,45.29472441,0,0,0,0,0,320,218
1972,Nevada,NV,3,36.31922362,546789,109806,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,36.31922362,0,0,0,0,0,521,17
1976,Nevada,NV,3,45.80980404,646975,109806,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,47.73060407,0,0,0,0,0,241,297
1980,Nevada,NV,3,27.35666333,810215,109806,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,30.07267134,0,0,0,0,0,448,90
1984,Nevada,NV,4,32.41934514,924922,109806,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,32.68431845,0,0,0,0,0,525,13
1988,Nevada,NV,4,38.6841254,1075022,109806,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,39.18141084,0,0,0,0,0,426,112
1992,Nevada,NV,4,37.35755,1330694,109806,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,51.82477752,1,0,0,0,0,168,370
1996,Nevada,NV,4,43.93349688,1596476,109806,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,50.58653135,1,0,0,0,0,159,379
2000,Nevada,NV,4,45.94126276,2018741,109806,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,48.1431615,0,0,0,0,0,271,267
2004,Nevada,NV,5,47.87804052,2346222,109806,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,48.68240427,0,0,0,0,0,286,252
2008,Nevada,NV,5,55.14667592,2653630,109806,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,56.38673812,1,0,0,0,0,173,365
2012,Nevada,NV,6,52.35624947,2743996,109806,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,53.40754216,1,0,0,0,0,206,332
2016,Nevada,NV,6,47.91782368,2917563,109806,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,51.29370942,1,0,0,0,0,306,232
2020,Nevada,NV,6,50.05678196,3104614,109806,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,51.22311734,1,0,0,0,0,229,307
1952,New Hampshire,NH,4,39.07785309,535000,8969,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,39.07785309,0,0,0,0,0,442,89
1956,New Hampshire,NH,4,33.84495532,566000,8969,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,33.85903186,0,0,0,0,0,457,74
1960,New Hampshire,NH,4,46.58220658,609000,8969,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,46.58220658,0,0,0,0,0,220,317
1964,New Hampshire,NH,4,63.89047981,663000,8969,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,63.89047981,1,0,0,0,0,52,486
1968,New Hampshire,NH,4,43.92513934,709000,8969,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,45.74173707,0,0,0,0,0,320,218
1972,New Hampshire,NH,4,34.85462149,781107,8969,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,35.26634137,0,0,0,0,0,521,17
1976,New Hampshire,NH,4,43.4726921,845248,8969,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,44.26074705,0,0,0,0,0,241,297
1980,New Hampshire,NH,4,28.3507383,924250,8969,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,32.93230763,0,0,0,0,0,448,90
1984,New Hampshire,NH,4,30.94516899,976864,8969,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,31.06554775,0,0,0,0,0,525,13
1988,New Hampshire,NH,4,36.33449864,1082577,8969,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,36.76636727,0,0,0,0,0,426,112
1992,New Hampshire,NH,4,38.91179509,1112766,8969,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,50.79655136,1,0,0,0,0,168,370
1996,New Hampshire,NH,4,49.57057735,1160768,8969,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,55.61163171,1,0,0,0,0,159,379
2000,New Hampshire,NH,4,46.80317916,1239882,8969,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,49.3321998,0,0,0,0,0,271,267
2004,New Hampshire,NH,4,50.20161082,1290121,8969,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,50.69028862,1,0,0,0,0,286,252
2008,New Hampshire,NH,4,54.12689706,1315906,8969,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,54.86854112,1,0,0,0,0,173,365
2012,New Hampshire,NH,4,51.97968415,1324232,8969,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,52.83375198,1,0,0,0,0,206,332
2016,New Hampshire,NH,4,46.82626267,1342307,8969,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,50.19702844,1,0,0,0,0,306,232
2020,New Hampshire,NH,4,52.70782528,1377529,8969,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,53.74834772,1,0,0,0,0,229,307
1952,New Jersey,NJ,16,41.98715962,5125000,7419,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,42.49720249,0,0,0,0,0,442,89
1956,New Jersey,NJ,16,34.22826924,5615000,7419,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,34.60482103,0,0,0,0,0,457,74
1960,New Jersey,NJ,16,49.9588729,6103000,7419,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,50.4018388,1,0,0,0,0,220,317
1964,New Jersey,NJ,17,65.60667002,6660000,7419,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,65.96015418,1,0,0,0,0,52,486
1968,New Jersey,NJ,17,43.96634202,7005000,7419,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,48.81720588,0,0,0,0,0,320,218
1972,New Jersey,NJ,17,36.77433389,7335042,7419,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,37.39207311,0,0,0,0,0,521,17
1976,New Jersey,NJ,17,47.92391503,7339745,7419,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,48.89933153,0,0,0,0,0,241,297
