year,state,abbr,electors,d_pv,pop,area,d_pv_nat,d_2pv_nat,d_cand,r_cand,winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,d_2pv,state_winner,dem_hsa_advantage,rep_hsa_advantage,dem_rsa_advantage,rep_rsa_advantage,total_rep_electors,total_dem_electors
1960,Arkansas,AR,8,50.18541034,1789000,52075,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,53.82185771,1,0,0,0,0,220,317
1964,Arkansas,AR,6,56.06395849,1897000,52075,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,56.3621491,1,0,0,0,0,52,486
1968,Arkansas,AR,6,30.33202644,1902000,52075,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,49.44366154,0,0,0,0,0,320,218
1972,Arkansas,AR,6,30.7101191,2018638,52075,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,30.85379663,0,0,0,0,0,521,17
1976,Arkansas,AR,6,64.96172813,2170161,52075,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,65.04885148,1,0,0,0,0,241,297
1980,Arkansas,AR,6,47.52263062,2288738,52075,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,49.68029406,0,0,0,0,0,448,90
1984,Arkansas,AR,6,38.290785,2319768,52075,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,38.7724119,0,0,0,0,0,525,13
1988,Arkansas,AR,6,42.19173217,2342656,52075,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,42.80835729,0,0,0,0,0,426,112
1992,Arkansas,AR,6,53.20795285,2394098,52075,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,59.99226706,1,1,0,1,0,168,370
1996,Arkansas,AR,6,53.73644915,2504858,52075,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,59.35282487,1,1,0,1,0,159,379
2000,Arkansas,AR,6,45.86425626,2678588,52075,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,47.19931049,0,0,0,0,0,271,267
2004,Arkansas,AR,6,44.54763045,2749686,52075,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,45.06425175,0,0,0,0,0,286,252
2008,Arkansas,AR,6,38.86465977,2874554,52075,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,39.82827939,0,0,0,0,0,173,365
2012,Arkansas,AR,6,36.8789903,2952164,52075,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,37.84559465,0,0,0,0,0,206,332
2016,Arkansas,AR,6,33.65312413,2989918,52075,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,35.71486231,0,0,0,0,0,306,232
2020,Arkansas,AR,6,34.77506195,3011524,52075,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,35.78756672,0,0,0,0,0,229,307
1952,California,CA,32,42.26532747,11635000,155973,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,42.65155152,0,1,0,0,0,442,89
1956,California,CA,32,44.27328631,13713000,155973,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,44.42405498,0,1,0,0,0,457,74
1960,California,CA,32,49.55137708,15870000,155973,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,49.72529315,0,0,1,0,1,220,317
1964,California,CA,40,59.11195414,18151000,155973,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,59.16729365,1,0,0,0,0,52,486
1968,California,CA,40,44.73942049,19394000,155973,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,48.33621425,0,0,1,0,0,320,218
1972,California,CA,45,41.53805357,20585469,155973,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,43.02886267,0,0,1,0,0,521,17
1976,California,CA,45,47.95482184,21935909,155973,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,49.08217269,0,0,0,0,0,241,297
1980,California,CA,45,35.91943691,23800800,155973,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,40.53337544,0,0,0,0,1,448,90
1984,California,CA,47,41.2677757,25844393,155973,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,41.77546518,0,0,0,0,1,525,13
1988,California,CA,47,47.55944256,28464249,155973,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,48.19268946,0,0,0,0,0,426,112
1992,California,CA,54,46.00658784,30875920,155973,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,58.51672877,1,0,0,0,0,168,370
1996,California,CA,54,51.09886562,31780829,155973,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,57.21626523,1,0,0,0,0,159,379
2000,California,CA,54,53.44973683,33987977,155973,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,56.20299,1,0,0,0,0,271,267
2004,California,CA,55,54.30555753,35574576,155973,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,55.04132045,1,0,0,0,0,286,252
2008,California,CA,55,61.01263835,36604337,155973,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,62.27844959,1,0,0,0,0,173,365
2012,California,CA,55,60.23895914,37948800,155973,50.87488268,51.91525804,"Obama, Barack H.","Romney, Mitt",1,1,1,0,1,0,Hawaii,Michigan,Illinois,Massachusetts,61.87281116,1,0,0,0,0,206,332
2016,California,CA,55,61.7263996,39167117,155973,47.05731122,51.16249044,"Clinton, Hillary","Trump, Donald J.",0,1,0,0,1,0,Illinois,New York,New York,New York,66.12822054,1,0,0,0,0,306,232
2020,California,CA,55,63.48394689,39538223,155973,51.31570891,52.26985906,"Biden, Joseph R.","Trump, Donald J.",1,0,0,1,0,1,Pennsylvania,New York,Delaware,Florida,64.90891136,1,0,0,0,0,229,307
1952,Colorado,CO,6,38.96251883,1365000,103730,44.37787914,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,1,0,0,0,0,California,Kansas,Illinois,New York,39.2626734,0,0,0,0,0,442,89
1956,Colorado,CO,6,39.81410823,1625000,103730,41.95397262,42.23566032,"Stevenson, Adlai","Eisenhower, Dwight",0,0,1,1,0,0,California,Kansas,Illinois,New York,40.09212181,0,0,0,0,0,457,74
1960,Colorado,CO,6,44.90740867,1769000,103730,49.72053533,50.08675949,"Kennedy, John F.","Nixon, Richard M.",1,0,0,0,0,1,Massachusetts,California,Massachusetts,California,45.11421519,0,0,0,0,0,220,317
1964,Colorado,CO,6,61.26545395,1970000,103730,61.05147582,61.34396784,"Johnson, Lyndon B.","Goldwater, Barry",1,1,1,0,1,0,Texas,Arizona,Texas,Arizona,61.59802586,1,0,0,0,0,52,486
1968,Colorado,CO,6,41.31834482,2120000,103730,42.71870649,49.59537839,"Humphrey, Hubert","Nixon, Richard M.",0,1,0,0,0,1,South Dakota,California,Minnesota,New York,45.01886453,0,0,0,0,0,320,218
1972,Colorado,CO,7,34.59330485,2404619,103730,37.53335786,38.21099117,"McGovern, George","Nixon, Richard M.",0,0,0,1,0,1,South Dakota,California,South Dakota,New York,35.59005963,0,0,0,0,0,521,17
1976,Colorado,CO,7,42.609946,2632306,103730,49.85266664,51.13734917,"Carter, Jimmy","Ford, Gerald",1,0,0,1,0,1,Georgia,Nebraska,Georgia,Michigan,44.09245617,0,0,0,0,0,241,297
1980,Colorado,CO,7,31.0700325,2908803,103730,41.01993031,44.84244123,"Carter, Jimmy","Reagan, Ronald",0,1,1,0,0,0,Georgia,Illinois,Georgia,California,36.06965978,0,0,0,0,0,448,90
1984,Colorado,CO,8,35.1228983,3169992,103730,40.41861657,40.87664881,"Mondale, Walter","Reagan, Ronald",0,0,0,1,1,0,Minnesota,Illinois,Minnesota,California,35.63423016,0,0,0,0,0,525,13
1988,Colorado,CO,8,45.28240432,3262281,103730,45.54877735,46.16754471,"Dukakis, Michael","Bush, George H.W.",0,0,0,0,0,1,Massachusetts,Massachusetts,Massachusetts,Texas,46.04617561,0,0,0,0,0,426,112
1992,Colorado,CO,8,40.12802865,3459995,103730,42.88416955,53.62069584,"Clinton, Bill","Bush, George H.W.",1,0,0,1,0,1,Arkansas,Massachusetts,Arkansas,Texas,52.80206552,1,0,0,0,0,168,370
1996,Colorado,CO,8,44.42649841,3812716,103730,49.06674998,54.80402403,"Clinton, Bill","Dole, Robert",1,1,1,0,0,0,Arkansas,Kansas,Arkansas,Kansas,49.24079237,0,0,0,0,0,159,379
2000,Colorado,CO,8,42.39350901,4326921,103730,48.14325143,50.25952345,"Gore, Al","Bush, George W.",0,1,0,0,1,0,District Of Columbia,Connecticut,Tennessee,Texas,45.51408006,0,0,0,0,0,271,267
2004,Colorado,CO,9,47.03784225,4575013,103730,48.0664567,48.73068404,"Kerry, John","Bush, George W.",0,0,0,1,0,0,Colorado,Connecticut,Massachusetts,Texas,47.63377044,0,1,0,0,0,286,252
2008,Colorado,CO,9,53.66023684,4889730,103730,52.76155846,53.77076728,"Obama, Barack H.","McCain, John",1,0,0,0,0,0,Hawaii,Arizona,Illinois,Arizona,54.55063469,1,0,0,0,0,173,365
