state,abbr,electors,partisan_lean,d_2pv_polls,d_2pv_fund,d_2pv_final,d_pv,r_pv,category,d_electors,r_electors
Missouri,MO,10,-8.650640330411049,52.396757147201825,49.84620578798763,43.746116816790774,43.746116816790774,56.253883183209226,Likely R,288,250
Montana,MT,4,-9.312917936648082,52.396757147201825,49.84620578798763,43.08383921055374,43.08383921055374,56.91616078944626,Likely R,288,250
Nebraska,NE,2,-10.739435636739765,52.396757147201825,49.84620578798763,41.65732151046206,41.65732151046206,58.34267848953794,Likely R,288,250
Nebraska_d2,NE_d2,1,-0.3433018592102988,52.396757147201825,49.84620578798763,52.053455287991525,52.053455287991525,47.946544712008475,Lean D,288,250
Nevada,NV,6,-0.9021536146284173,52.396757147201825,49.84620578798763,51.49460353257341,51.49460353257341,48.50539646742659,Lean D,288,250
New Hampshire,NH,4,0.6770599901349967,52.396757147201825,49.84620578798763,53.073817137336825,53.073817137336825,46.926182862663175,Lean D,288,250
New Jersey,NJ,14,4.6818766856373895,52.396757147201825,49.84620578798763,57.078633832839216,57.078633832839216,42.921366167160784,Likely D,288,250
New Mexico,NM,5,2.5732945017167372,52.396757147201825,49.84620578798763,54.97005164891856,54.97005164891856,45.02994835108144,Lean D,288,250
New York,NY,28,8.365811836671686,52.396757147201825,49.84620578798763,60.76256898387351,60.76256898387351,39.23743101612649,Strong D,288,250
North Carolina,NC,16,-2.741376761643664,52.396757147201825,49.84620578798763,49.65538038555816,49.65538038555816,50.34461961444184,Lean R,288,250
North Dakota,ND,3,-16.487009502112638,52.396757147201825,49.84620578798763,35.90974764508918,35.90974764508918,64.09025235491082,Strong R,288,250
Ohio,OH,17,-5.820317396235373,52.396757147201825,49.84620578798763,46.57643975096645,46.57643975096645,53.42356024903355,Lean R,288,250
Oklahoma,OK,7,-16.196994054538507,52.396757147201825,49.84620578798763,36.19976309266332,36.19976309266332,63.80023690733668,Strong R,288,250
Oregon,OR,8,4.494111793979131,52.396757147201825,49.84620578798763,56.890868941180955,56.890868941180955,43.109131058819045,Likely D,288,250
Pennsylvania,PA,19,-1.5383174436219533,52.396757147201825,49.84620578798763,50.85843970357987,50.85843970357987,49.14156029642013,Lean D,288,250
Rhode Island,RI,4,6.328954896477343,52.396757147201825,49.84620578798763,58.72571204367917,58.72571204367917,41.27428795632083,Likely D,288,250
South Carolina,SC,9,-6.9652008295182934,52.396757147201825,49.84620578798763,45.43155631768353,45.43155631768353,54.56844368231647,Lean R,288,250
South Dakota,SD,3,-13.38063547967839,52.396757147201825,49.84620578798763,39.016121667523436,39.016121667523436,60.983878332476564,Strong R,288,250
Tennessee,TN,11,-11.860868355436573,52.396757147201825,49.84620578798763,40.53588879176525,40.53588879176525,59.46411120823475,Likely R,288,250
