year,state,abbr,electors,d_pv,r_pv,margin,pl,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb_party,d_incumb,r_incumb,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,jobs_pct_change,pce_pct_change,rdpi_pct_change,cpi_pct_change,ics_pct_change,sp500_avg,unemp_avg
1952,Nebraska_d1,NE_d1,0,30.84620936,69.15379064,-38.30758128,-13.53166978,30.84620936,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,1311000,76878,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Nebraska_d2,NE_d2,0,30.84620936,69.15379064,-38.30758128,-13.53166978,30.84620936,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,1311000,76878,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Nebraska_d3,NE_d3,0,30.84620936,69.15379064,-38.30758128,-13.53166978,30.84620936,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,1311000,76878,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Nebraska_full,NE_full,6,30.84620936,69.15379064,-38.30758128,-13.53166978,30.84620936,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,1311000,76878,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Nevada,NV,3,38.55456868,61.44543132,-22.89086264,-5.82331046,38.55456868,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,181000,109806,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,New Hampshire,NH,4,39.07785309,60.92214691,-21.84429382,-5.30002605,39.07785309,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,535000,8969,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,New Jersey,NJ,16,41.98715962,56.81266051,-14.82550089,-2.39071952,42.49720249,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,5125000,7419,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,New Mexico,NM,4,44.28225374,55.39210756,-11.10985382,-0.0956254,44.426925,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,735000,121365,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,New York,NY,45,43.55353586,55.45288101,-11.89934515,-0.82434328,43.99061923,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,1,15192000,47224,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,North Carolina,NC,14,53.91011718,46.08988282,7.82023436,9.53223804,53.91011718,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,1,0,0,0,0,0,0,0,0,4109000,48718,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,North Dakota,ND,4,28.39183051,70.97106175,-42.57923124,-15.98604863,28.57387689,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,608000,68994,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Ohio,OH,25,43.24430292,56.75569708,-13.51139416,-1.13357622,43.24430292,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,8275000,40953,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Oklahoma,OK,8,45.4105654,54.5894346,-9.1788692,1.03268626,45.4105654,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,2219000,68679,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Oregon,OR,6,38.92892546,60.54378118,-21.61485572,-5.44895368,39.13528321,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,1582000,96003,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
1952,Pennsylvania,PA,32,46.85185602,52.73532739,-5.883471374,2.47397688,47.04607,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,1,0,0,0,0,0,0,0,0,10503000,44820,0.684633769,NA,NA,1.186325247,NA,-0.792227637,-1.365369935
