year,state,abbr,electors,d_pv2p,r_pv2p,d_natl_share,r_natl_share,d_cand,r_cand,winner,state_winner,total_rep_electors,total_dem_electors,density,resident_dummy,birth_dummy
1968,Delaware,DE,3,47.97749424,52.02250576,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,273.15,0,0
1968,Florida,FL,27,43.28439919,56.71560081,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,119.14,0,0
1968,Georgia,GA,15,46.80421691,53.19578309,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,77.38,0,0
1968,Hawaii,HI,4,60.71948752,39.28051248,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,114.28,0,0
1968,Idaho,ID,4,35.05823863,64.94176137,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,8.4,0,0
1968,Illinois,IL,21,48.39889451,51.60110549,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,197.78,0,0
1968,Indiana,IN,11,43.03227878,56.96772122,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,141.98,0,0
1968,Iowa,IA,7,43.5021742,56.4978258,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,50.17,0,0
1968,Kansas,KS,6,38.7626492,61.2373508,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,27.08,0,0
1968,Kentucky,KY,8,46.22827786,53.77172214,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",0,341,194,80.41,0,0
1968,Louisiana,LA,9,54.59137794,45.40862206,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,82.7,0,0
1968,Maine,ME,4,56.21601486,43.78398514,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,32.2,0,0
1968,Maryland,MD,10,50.96160673,49.03839327,49.59537839,50.40462161,"Humphrey, Hubert","Nixon, Richard M.","Nixon, Richard M.",1,341,194,390.28,0,0
