year,state,abbr,electors,d_pv,r_pv,margin,pl,pl_lag1,pl_lag2,d_2pv,d_pv_nat,r_pv_nat,margin_nat,d_2pv_nat,d_cand,r_cand,winner,d_electors,r_electors,state_winner,incumb,incumb_party,d_prev_admin,r_prev_admin,d_hsa,r_hsa,d_rsa,r_rsa,pop,area,pop_norm,hsa_adjustment,rsa_adjustment,elasticity,elasticity_lag1,elasticity_lag2
1952,North Carolina,NC,14,53.91011718,46.08988282,7.82023436,9.53223804,NA,NA,53.91011718,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,4109000,48718,0.261674772,0,0,1,NA,NA
1952,North Dakota,ND,4,28.39183051,70.97106175,-42.57923124,-15.98604863,NA,NA,28.57387689,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,608000,68994,0.028445806,0,0,1,NA,NA
1952,Ohio,OH,25,43.24430292,56.75569708,-13.51139416,-1.13357622,NA,NA,43.24430292,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,8275000,40953,0.539204583,0,0,1,NA,NA
1952,Oklahoma,OK,8,45.4105654,54.5894346,-9.1788692,1.03268626,NA,NA,45.4105654,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,2219000,68679,0.135767104,0,0,1,NA,NA
1952,Oregon,OR,6,38.92892546,60.54378118,-21.61485572,-5.44895368,NA,NA,39.13528321,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,1582000,96003,0.093331557,0,0,1,NA,NA
1952,Pennsylvania,PA,32,46.85185602,52.73532739,-5.883471374,2.47397688,NA,NA,47.04607,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,10503000,44820,0.687629072,0,0,1,NA,NA
1952,Rhode Island,RI,4,49.0455925,50.88926846,-1.843675964,4.66771336,NA,NA,49.07756115,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,802000,1034,0.041369662,0,0,1,NA,NA
1952,South Carolina,SC,8,50.72151891,49.27848109,1.44303782,6.34363977,NA,NA,50.72151891,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,1,0,1,0,0,0,0,0,0,2178000,30111,0.133035774,0,0,1,NA,NA
1952,South Dakota,SD,4,30.72756496,69.27243504,-38.54487008,-13.65031418,NA,NA,30.72756496,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,651000,75898,0.031310372,0,0,1,NA,NA
1952,Tennessee,TN,11,49.71245405,49.98549107,-0.27303702,5.33457491,NA,NA,49.86306788,44.37787914,54.87805235,-10.50017321,44.71055631,"Stevenson, Adlai","Eisenhower, Dwight",0,89,442,0,0,1,0,0,0,0,0,0,3352000,41220,0.211245087,0,0,1,NA,NA
